,n_street1,n_street2,c_street1,c_street2,Full Address,H House Number,H Street Name,new h house number,new h street name,new h city,unidentified h info
0,,,,,,,,,,,
1,,,,,38 Concord,38.0,CONCORD,,,,
2,,,,,34 Beaver N Y h Joralemon,34.0,BEAVER N Y H JORALEMON,,JORALEMON,,H
3,,,,,N Y h 66 Court,,,,66,,COURT
4,,,,,113 Maiden Lane N Y h 42 Court,113.0,MAIDEN LANE N Y H 42 COURT,,42,,COURT
5,,,,,stove man'r Fulton h 103 YVilloughby,,,,103,,YVILLOUGHBY
6,,,,,Columbia c Congress h 14 Sydney Place,,,,14,,SYDNEY PLACE
7,,,,,John n Bridge h 61 Bridgc,,,,61,,BRIDGC
8,,,3 av,16 st Gowanus,N Y' h 3 av c 16 st Gowanus,,,3.0,AV C,,16 ST GOWANUS
9,,,,,N Y h Myrtle av,,,,,,MYRTLE AV
10,,,,,yard 19 st c 3 av h Middle st Gowanus,19.0,ST C 3 AV H MIDDLE ST GOWANUS,,,,MIDDLE ST GOWANUS
11,,,,,"watchman fulton market  , N Y h 24 Carlton av",,,,24,,CARLTON AV
12,Classon,Flushing av,,,Graham n Myrtle av h Classon n Flushing av,,,,,FLUSHING,CLASSON N  AV
13,,,,,N Y h 16 Sydney place,,,,16,,SYDNEY PLACE
14,61 Carlton,Myrtle av,,,Raymond n Myrtle h 61 Carlton n Myrtle av,,,,61,,CARLTON N MYRTLE AV
15,,,,,Myrtle av c Carll h 159 Myrtle av,,,,159,,MYRTLE AV
16,,,,,Insurance agent office 3 Front N Y h 94 Coint,,,,94,,COINT
17,Classon,Myrtle av,,,Fulton h Classon n Myrtle av,,,,,,CLASSON N MYRTLE AV
18,,,,,copperplate maker 120 W'illiam N Y h,,,,,,H
19,Flushing av,Nostrand av,,,morocco man'r Bedford av n Flushing av h Flushing av n Nostrand av,,,,,FLUSHING,AV N NOSTRAND AV
20,,,,,Carlton n Fulton av h 22 stn 3 av Gowanus,,,22.0,AV G,,STN 3 OWANUS
21,,,,,Davine Thomas tailor 89 Fulton h 246 Myrtle av,,,,246,,MYRTLE AV
22,,,,,VanBrunt and Hamilton av h 1 Boardman Place Court st,,,,1,,BOARDMAN PLACE COURT ST
23,5 av,9 st Gowanus,,,N Y h 5 av n 9 st Gowanus,,,5.0,N 9,,AV  ST GOWANUS
24,,,,,Main c York and 138 Fulton h Fleets alley,,,,,LEE,FTS ALLEY
25,,,,,N Y h 69 YVillow,,,,69,,YVILLOW
26,,,,3 av and 16 st Gowanus,27 st n 5 av h c 3 av and 16 st Gowanus,27.0,ST N 5 AV H C 3 AV AND 16 ST GOWANUS,3.0,AV A,,C  ND 16 ST GOWANUS
27,,,,,Plymouth c Adams h 32 C'harlton N Y,,,,32,,C'HARLTON N Y
28,,,,,3 av n 19 st h 20 st b 3 & Sth av Gowanus,3.0,AV N 19 ST H 20 ST B 3 & STH AV GOWANUS,20.0,AV G,,ST B 3 & STOWANUS
29,,,,,14Water N Y h 10 Sydney place,,,,10,,SYDNEY PLACE
30,,,,,Fulton c Court h 19 Myrtle av,,,,19,,MYRTLE AV
31,,,,,,,,,,,
32,,,,,N Y h 59 W'illoughby,,,,59,,W'ILLOUGHBY
33,,,,,NY h 7 Boardman pl Court st,,,,7,,BOARDMAN PL COURT ST
34,,,,,Greenwich & Dey N Y h 32 Myrtle av,,,,32,,MYRTLE AV
35,,,,,Dean n Hoyt h 103 Iloyt,,,,103,,ILOYT
36,22 st,3 av Gowanus,,,N Y h 22 st n 3 av Gowanus,,,22.0,AV G,,ST N 3 OWANUS
37,Clermont,Myrtle av,,,N Y h Clermont n Myrtle av,,,,,CLERMONT,N MYRTLE AV
38,Baltic,Henry,,,Baltic h Baltic n Henry,,,,N HENRY,,BALTIC
39,,,,,Wood and ware agency 46 Fulton h,,,,,,H
40,,,,,wine mer. Ill Front N Y h Pacific stn Clove rd Bedford,,,,CLOVE RD,,PACIFIC STN  BEDFORD
41,,,,,"lawyer and police justice,office 6 Montague Hall h 5 av Gowanus",,,5.0,AV G,,OWANUS
42,,,,,3 av c 21 st h 22nd st b 3 and 4 av Gowanus,3.0,AV C 21 ST H 22ND ST B 3 AND 4 AV GOWANUS,,AV G,,22ND ST B 3 AND 4 OWANUS
43,,,,,153 South N Y h 127 Myrtle av,153.0,SOUTH N Y H 127 MYRTLE AV,,127,,MYRTLE AV
44,,,,,N Y h 14 Sydney place,,,,14,,SYDNEY PLACE
45,,,,,Flushing c Ryerson av Aiderman 7 ward) h,,,,,,H
46,,,,,Brooklyn Independent c Orange and Fulton st h Sth av b 13 and 14 sts,,,,AV B,,ST 13 AND 14 STS
47,,,,,Custom house N Y h 39 Sydney place,,,,39,,SYDNEY PLACE
48,,,,,Fulton market N Y h 24 Carlton av,,,,24,,CARLTON AV
49,,,,,Furman n Everitt h 43 Sauds,,,,43,,SAUDS
50,,,,,Columbia n Fulton h 128 Myrtle ax,,,,128,,MYRTLE AX
51,,,,,N Y h Craubcrry,,,,,,CRAUBCRRY
52,,,,,N Y h 97 Myrtle av,,,,97,,MYRTLE AV
53,,,,,NY h 70Remseit,,,,70,,REMSEIT
54,,,,,8 ward h 3 av & 16,8.0,WARD H 3 AV & 16,3.0,16,,AV &
55,3 av c 27 st h 21 st,3 av Gowanus,3 av,27 st h 21 st n 3 av Gowanus,Greenwood Cemetery monumental works Aiderman 8 ward) h 3 av c 27 st h 21 st n 3 av Gowanus,,,3.0,AV G,,AV C 27 ST 21 ST N  OWANUS
56,63 Carlton,Myrtle av,,,N Y h 63 Carlton n Myrtle av,,,,63,,CARLTON N MYRTLE AV
57,,,,,attorney & counsellor at law and commissioner of deeds 307 Fulton h,,,,,,H
